--------------------------------	
Land-atmosphere d13C fractionation	
Using CO2 from CMIP6-Meinshausen and SSP3-Baseline
	
frac is following schubert & jahren 2015, shifted 
to be -17 per mil in 1850
	
HDG 13 Nov 18
--------------------------------	
2196.50000000000	-23.0406000267301
2197.50000000000	-23.0449167038007
2198.50000000000	-23.0491325553090
2199.50000000000	-23.0532340166267
2200.50000000000	-23.0572366207025
2201.50000000000	-23.0611273519372
2202.50000000000	-23.0649072952278
2203.50000000000	-23.0685771593151
2204.50000000000	-23.0721523130424
2205.50000000000	-23.0756194629344
2206.50000000000	-23.0789933208981
2207.50000000000	-23.0822474027822
2208.50000000000	-23.0854100808889
2209.50000000000	-23.0884819242301
2210.50000000000	-23.0914364260467
2211.50000000000	-23.0943018038046
2212.50000000000	-23.0970787177874
2213.50000000000	-23.0997406191843
2214.50000000000	-23.1023154352318
2215.50000000000	-23.1047901351999
2216.50000000000	-23.1071789577133
2217.50000000000	-23.1094554936866
2218.50000000000	-23.1116473160563
2219.50000000000	-23.1137549147983
2220.50000000000	-23.1157519705210
2221.50000000000	-23.1176656567133
2222.50000000000	-23.1194832927665
2223.50000000000	-23.1212185961868
2224.50000000000	-23.1228453300564
2225.50000000000	-23.1243905550843
2226.50000000000	-23.1258412574359
2227.50000000000	-23.1272109837448
2228.50000000000	-23.1284871957373
2229.50000000000	-23.1296698961356
2230.50000000000	-23.1307593875103
2231.50000000000	-23.1317692284624
2232.50000000000	-23.1326863670752
2233.50000000000	-23.1335111969639
2234.50000000000	-23.1342570171136
2235.50000000000	-23.1349107472491
2236.50000000000	-23.1354725526731
2237.50000000000	-23.1359558046084
2238.50000000000	-23.1363475423342
2239.50000000000	-23.1366477040139
2240.50000000000	-23.1368565258352
2241.50000000000	-23.1369869600947
2242.50000000000	-23.1370261345478
2243.50000000000	-23.1369869600947
2244.50000000000	-23.1368565258352
2245.50000000000	-23.1366346410426
2246.50000000000	-23.1363214090282
2247.50000000000	-23.1359296618957
2248.50000000000	-23.1354463983539
2249.50000000000	-23.1348845794334
2250.50000000000	-23.1342308335887
2251.50000000000	-23.1334849955111
2252.50000000000	-23.1326994761725
2253.50000000000	-23.1319265114705
2254.50000000000	-23.1311398682291
2255.50000000000	-23.1303524972633
2256.50000000000	-23.1295778673896
2257.50000000000	-23.1287895289022
2258.50000000000	-23.1279874553270
2259.50000000000	-23.1271979678473
2260.50000000000	-23.1263947248349
2261.50000000000	-23.1256039250213
2262.50000000000	-23.1247995098940
2263.50000000000	-23.1239945016278
2264.50000000000	-23.1231756771847
2265.50000000000	-23.1223694749006
2266.50000000000	-23.1215494341514
2267.50000000000	-23.1207287792723
2268.50000000000	-23.1199075095730
2269.50000000000	-23.1190856230364
2270.50000000000	-23.1182631216214
2271.50000000000	-23.1174267087604
2272.50000000000	-23.1166029628808
2273.50000000000	-23.1157785987036
2274.50000000000	-23.1149402908571
2275.50000000000	-23.1141013431358
2276.50000000000	-23.1132750998388
2277.50000000000	-23.1124348803640
2278.50000000000	-23.1115940201592
2279.50000000000	-23.1107525158188
2280.50000000000	-23.1099237536625
2281.50000000000	-23.1090809717486
2282.50000000000	-23.1082375448295
2283.50000000000	-23.1073934721645
2284.50000000000	-23.1065487530116
2285.50000000000	-23.1057033866280
2286.50000000000	-23.1048708194607
2287.50000000000	-23.1040241666951
2288.50000000000	-23.1031768644746
2289.50000000000	-23.1023423900539
2290.50000000000	-23.1014937970286
2291.50000000000	-23.1006445523143
2292.50000000000	-23.0998081640789
2293.50000000000	-23.0989576241166
2294.50000000000	-23.0981199597551
2295.50000000000	-23.0972681215793
2296.50000000000	-23.0964291781689
2297.50000000000	-23.0955760388052
2298.50000000000	-23.0947358134140
2299.50000000000	-23.0938949510751
2300.50000000000	-23.0930534510639
2301.50000000000	-23.0921977108438
2302.50000000000	-23.0913549229851
2303.50000000000	-23.0905114952621
2304.50000000000	-23.0896674269457
2305.50000000000	-23.0888227173060
2306.50000000000	-23.0879773656117
2307.50000000000	-23.0871313697655
2308.50000000000	-23.0862984060952
2309.50000000000	-23.0854511342454
2310.50000000000	-23.0846032174169
2311.50000000000	-23.0837681918878
2312.50000000000	-23.0829189932055
2313.50000000000	-23.0820828734959
2314.50000000000	-23.0812323901792
2315.50000000000	-23.0803950037688
2316.50000000000	-23.0795569901501
2317.50000000000	-23.0787045796596
2318.50000000000	-23.0778652964102
2319.50000000000	-23.0770253810638
2320.50000000000	-23.0761848356630
2321.50000000000	-23.0753436581191
2322.50000000000	-23.0745016779086
2323.50000000000	-23.0736592338095
2324.50000000000	-23.0728161540410
2325.50000000000	-23.0719862913184
2326.50000000000	-23.0711419526455
2327.50000000000	-23.0702969761590
2328.50000000000	-23.0694652457549
2329.50000000000	-23.0686188354063
2330.50000000000	-23.0677858596879
2331.50000000000	-23.0669383511403
2332.50000000000	-23.0661041274346
2333.50000000000	-23.0652692824657
2334.50000000000	-23.0644198741508
2335.50000000000	-23.0635836069144
2336.50000000000	-23.0627468876665
2337.50000000000	-23.0619095471588
2338.50000000000	-23.0610715819050
2339.50000000000	-23.0602329940019
2340.50000000000	-23.0594076158244
2341.50000000000	-23.0585677866494
2342.50000000000	-23.0577273327446
2343.50000000000	-23.0568862506078
2344.50000000000	-23.0560584179577
2345.50000000000	-23.0552160918160
2346.50000000000	-23.0543872043923
2347.50000000000	-23.0535436287976
2348.50000000000	-23.0527133410589
2349.50000000000	-23.0518826147772
2350.50000000000	-23.0510512790910
2351.50000000000	-23.0502052094910
2352.50000000000	-23.0493724661208
2353.50000000000	-23.0485392820057
2354.50000000000	-23.0477054857770
2355.50000000000	-23.0468710739302
2356.50000000000	-23.0460500475579
2357.50000000000	-23.0452144155855
2358.50000000000	-23.0443781673796
2359.50000000000	-23.0435553334454
2360.50000000000	-23.0427178610823
2361.50000000000	-23.0418797704483
2362.50000000000	-23.0410551229764
2363.50000000000	-23.0402300500967
2364.50000000000	-23.0393901214698
2365.50000000000	-23.0385636648236
2366.50000000000	-23.0377367811779
2367.50000000000	-23.0369092961229
2368.50000000000	-23.0360810347418
2369.50000000000	-23.0352523447714
2370.50000000000	-23.0344230514195
2371.50000000000	-23.0335929793855
2372.50000000000	-23.0327624771649
2373.50000000000	-23.0319311932524
2374.50000000000	-23.0311138399811
2375.50000000000	-23.0302815300351
2376.50000000000	-23.0294484374718
2377.50000000000	-23.0286293038033
2378.50000000000	-23.0277951802242
2379.50000000000	-23.0269746828247
2380.50000000000	-23.0261537732865
2381.50000000000	-23.0253320980957
2382.50000000000	-23.0244955646115
2383.50000000000	-23.0236726958146
2384.50000000000	-23.0228494128343
2385.50000000000	-23.0220255375510
2386.50000000000	-23.0212008913326
2387.50000000000	-23.0203758293956
2388.50000000000	-23.0195645011727
2389.50000000000	-23.0187382604698
2390.50000000000	-23.0179112472160
2391.50000000000	-23.0170983506914
2392.50000000000	-23.0162701546127
2393.50000000000	-23.0154560950375
2394.50000000000	-23.0146267135944
2395.50000000000	-23.0138114884708
2396.50000000000	-23.0129955085160
2397.50000000000	-23.0121791256971
2398.50000000000	-23.0113473764348
2399.50000000000	-23.0105298230727
2400.50000000000	-23.0097115118950
2401.50000000000	-23.0088927958728
2402.50000000000	-23.0080879707999
2403.50000000000	-23.0072681015239
2404.50000000000	-23.0064474685289
2405.50000000000	-23.0056264316463
2406.50000000000	-23.0048193228434
2407.50000000000	-23.0039969456524
2408.50000000000	-23.0031888771597
2409.50000000000	-23.0023653376210
2410.50000000000	-23.0015561251288
2411.50000000000	-23.0007461659773
2412.50000000000	-22.9999210648017
2413.50000000000	-22.9991099592375
2414.50000000000	-22.9982982846705
2415.50000000000	-22.9974862221968
2416.50000000000	-22.9966734079542
2417.50000000000	-22.9958602033804
2418.50000000000	-22.9950610648527
2419.50000000000	-22.9942465469407
2420.50000000000	-22.9934316372801
2421.50000000000	-22.9926159736955
2422.50000000000	-22.9918145956311
2423.50000000000	-22.9909979770008
2424.50000000000	-22.9901954808394
2425.50000000000	-22.9893926113131
2426.50000000000	-22.9885741043619
2427.50000000000	-22.9877699317536
2428.50000000000	-22.9869653844198
2429.50000000000	-22.9861600981906
2430.50000000000	-22.9853542542203
2431.50000000000	-22.9845480341663
2432.50000000000	-22.9837410731002
2433.50000000000	-22.9829335510561
2434.50000000000	-22.9821254704423
2435.50000000000	-22.9813320057558
2436.50000000000	-22.9805228137989
2437.50000000000	-22.9797130600375
2438.50000000000	-22.9789179519006
2439.50000000000	-22.9781070833415
2440.50000000000	-22.9773106953181
