--------------------------------	
CMIP6 CO2 Global Means
Averages of monthly data from Meinshausen
mole_fraction_of_carbon_dioxide_in_air
HDG 21 Jun 2018	
--------------------------------
2288.5	396.8380127
2289.5	396.7640076
2290.5	396.6900024
2291.5	396.6159973
2292.5	396.5429993
2293.5	396.4689941
2294.5	396.3959961
2295.5	396.322998
2296.5	396.2510071
2297.5	396.178009
2298.5	396.1059875
2299.5	396.0339966
2300.5	395.9620056
2301.5	395.8900146
2302.5	395.8179932
2303.5	395.7470093
2304.5	395.6759949
2305.5	395.6040039
2306.5	395.5329895
2307.5	395.4630127
2308.5	395.3919983
2309.5	395.321991
2310.5	395.2510071
2311.5	395.1809998
2312.5	395.1109924
2313.5	395.0419922
2314.5	394.9719849
2315.5	394.9020081
2316.5	394.8330078
2317.5	394.7640076
2318.5	394.6950073
2319.5	394.6260071
2320.5	394.5570068
2321.5	394.4890137
2322.5	394.4200134
2323.5	394.3519897
2324.5	394.2839966
2325.5	394.2160034
2326.5	394.1480103
2327.5	394.0799866
2328.5	394.0130005
2329.5	393.9450073
2330.5	393.8779907
2331.5	393.8099976
2332.5	393.7430115
2333.5	393.6759949
2334.5	393.6099854
2335.5	393.5429993
2336.5	393.4760132
2337.5	393.4100037
2338.5	393.3429871
2339.5	393.2770081
2340.5	393.2109985
2341.5	393.144989
2342.5	393.07901
2343.5	393.0130005
2344.5	392.946991
2345.5	392.881012
2346.5	392.8160095
2347.5	392.75
2348.5	392.6849976
2349.5	392.6199951
2350.5	392.5539856
2351.5	392.4890137
2352.5	392.4240112
2353.5	392.3590088
2354.5	392.2940063
2355.5	392.2290039
2356.5	392.1640015
2357.5	392.1000061
2358.5	392.0350037
2359.5	391.9700012
2360.5	391.9060059
2361.5	391.8410034
2362.5	391.7770081
2363.5	391.7120056
2364.5	391.6480103
2365.5	391.5840149
2366.5	391.519989
2367.5	391.4559937
2368.5	391.3930054
2369.5	391.32901
2370.5	391.2659912
2371.5	391.2030029
2372.5	391.1400146
2373.5	391.0780029
2374.5	391.0150146
2375.5	390.9530029
2376.5	390.8909912
2377.5	390.82901
2378.5	390.7669983
2379.5	390.7059937
2380.5	390.6440125
2381.5	390.5830078
2382.5	390.5220032
2383.5	390.4609985
2384.5	390.401001
2385.5	390.3399963
2386.5	390.2799988
2387.5	390.2189941
2388.5	390.1589966
2389.5	390.098999
2390.5	390.0400085
2391.5	389.980011
2392.5	389.92099
2393.5	389.8609924
2394.5	389.802002
2395.5	389.7430115
2396.5	389.6839905
2397.5	389.625
2398.5	389.5669861
2399.5	389.5079956
2400.5	389.4500122
2401.5	389.3919983
2402.5	389.3340149
2403.5	389.276001
2404.5	389.2179871
2405.5	389.1610107
2406.5	389.1029968
2407.5	389.04599
2408.5	388.9890137
2409.5	388.9320068
2410.5	388.875
2411.5	388.8179932
2412.5	388.7619934
2413.5	388.7049866
2414.5	388.6489868
2415.5	388.5929871
2416.5	388.5360107
2417.5	388.480011
2418.5	388.4249878
2419.5	388.368988
2420.5	388.3129883
2421.5	388.2579956
2422.5	388.2019958
2423.5	388.1470032
2424.5	388.0920105
2425.5	388.0369873
2426.5	387.9819946
2427.5	387.928009
2428.5	387.8729858
2429.5	387.8190002
2430.5	387.7640076
2431.5	387.7099915
2432.5	387.6560059
2433.5	387.6019897
2434.5	387.5480042
2435.5	387.493988
2436.5	387.4410095
2437.5	387.3869934
2438.5	387.3340149
2439.5	387.2799988
2440.5	387.2269897
2441.5	387.1740112
2442.5	387.1210022
2443.5	387.0679932
2444.5	387.0159912
2445.5	386.9630127
2446.5	386.9110107
2447.5	386.8580017
2448.5	386.8059998
2449.5	386.7539978
2450.5	386.7019958
2451.5	386.6499939
2452.5	386.5979919
2453.5	386.54599
2454.5	386.4949951
2455.5	386.4429932
2456.5	386.3919983
2457.5	386.3399963
2458.5	386.2890015
2459.5	386.2380066
2460.5	386.1870117
2461.5	386.1359863
2462.5	386.0859985
2463.5	386.0350037
2464.5	385.9840088
2465.5	385.9339905
2466.5	385.8840027
2467.5	385.8330078
2468.5	385.7829895
2469.5	385.7330017
2470.5	385.6830139
2471.5	385.6329956
2472.5	385.5840149
2473.5	385.5339966
2474.5	385.4840088
2475.5	385.4349976
2476.5	385.3859863
2477.5	385.3359985
2478.5	385.2869873
2479.5	385.2380066
2480.5	385.1889954
2481.5	385.1400146
2482.5	385.0920105
2483.5	385.0429993
2484.5	384.9949951
2485.5	384.9460144
2486.5	384.8980103
2487.5	384.848999
2488.5	384.8009949
2489.5	384.7529907
2490.5	384.7049866
2491.5	384.6570129
2492.5	384.6099854
2493.5	384.5620117
2494.5	384.5140076
2495.5	384.4670105
2496.5	384.4190063
2497.5	384.3720093
2498.5	384.3250122
2499.5	384.2779846
2500.5	384.2539978

